group,psc,psc_desc,psc_category
53,5350,Abrasive Materials,Abrasive
34,3461,Accessories for Secondary Metalworking Machinery,Accessories
74,7420,Accounting and Calculating Machines,Accounting
96,9630,Additive Metal Materials,Additive
80,8040,Adhesives,Adhesives
76,7641,Aeronautical Maps,Charts and Geodetic Products
41,4120,Air Conditioning Equipment,Air
44,4460,Air Purification Equipment,Air
16,1660,Aircraft Air Conditioning,Heating
63,6340,Aircraft Alarm and Signal Systems,Aircraft
12,1280,Aircraft Bombing Fire Control Components,Aircraft
16,1640,Aircraft Control Cable Products,Aircraft
12,1270,Aircraft Gunnery Fire Control Components,Aircraft
16,1650,Aircraft Hydraulic,Vacuum
17,1710,Aircraft Landing Equipment Includes,Aircraft
16,1620,Aircraft Landing Gear Components,Aircraft
17,1720,Aircraft Launching Equipment Includes,Aircraft
49,4920,Aircraft Maintenance and Repair Shop Specialized Equipment,Aircraft
16,1610,Aircraft Propellers and Components,Aircraft
16,1630,Aircraft Wheel and Brake Systems,Aircraft
15,1510,Aircraft,Fixed Wing
15,1520,Aircraft,Rotary Wing
17,1740,Airfield Specialized Trucks and Trailers,Airfield
15,1560,Airframe Structural Components,Airframe
81,8140,Ammunition and Nuclear Ordnance Boxes,Packages and Special Containers
49,4925,Ammunition Maintenance,Repair
13,1315,Ammunition,75mm through 125mm
13,1320,Ammunition,over 125mm
13,1310,Ammunition,over 30mm up to 75mm
13,1305,Ammunition,through 30mm Includes
59,5996,Amplifiers,Amplifiers
59,5985,Antennas,Waveguides
69,6920,Armament Training Devices,Armament
84,8470,Armor,Personal
10,1090,Assemblies Interchangeable Between Weapons in Two or More Classes,Assemblies
78,7810,Athletic and Sporting Equipment,Athletic
66,6615,Automatic Pilot Mechanisms and Airborne Gyro Components,Automatic
84,8455,Badges and Insignia,Badges
81,8105,Bags and Sacks,Bags
89,8920,Bakery and Cereal Products,Bakery
62,6250,Ballasts,Lampholders
19,1930,Barges and Lighters,Cargo
19,1935,Barges and Lighters,Special Purpose
95,9510,Bars and Rods,Bars
95,9530,Bars and Rods,Nonferrous Base Metal
61,6135,Batteries,Nonrechargeable
61,6140,Batteries,Rechargeable
31,3110,Bearings,Antifriction
31,3130,Bearings,Mounted
31,3120,Bearings,Plain
30,3030,Belting,Drive Belts
34,3441,Bending and Forming Machines,Bending
89,8965,Beverages,Alcoholic
89,8960,Beverages,Nonalcoholic Includes
39,3940,Blocks,Tackle
53,5306,Bolts,Bolts
13,1325,Bombs,Bombs
76,7610,Books and Pamphlets,Books
34,3411,Boring Machines,Boring
81,8125,Bottles and Jars,Bottles
81,8115,Boxes,Cartons
54,5420,Bridges,Fixed and Floating
34,3412,Broaching Machines,Broaching
79,7920,Brooms,Brushes
56,5670,Building Components,Prefabricated
13,1376,Bulk Explosives,Bulk
20,2050,Buoys,Buoys
53,5365,Bushings,Rings
71,7125,Cabinets,Lockers
59,5995,Cable,Cord
67,6710,Cameras,Motion Picture
67,6720,Cameras,Still Picture
10,1080,Camouflage and Deception Equipment,Camouflage
59,5910,Capacitors,Capacitors
19,1915,Cargo and Tanker Vessels,Cargo
13,1377,Cartridge and Propellant Actuated Devices and Components,Cartridge
43,4330,Centrifugals,Separators
40,4010,Chain and Wire Rope,Chain
66,6630,Chemical Analysis Instruments,Chemical
36,3650,Chemical and Pharmaceutical Products Manufacturing Machinery,Chemical
10,1040,Chemical Weapons and Equipment,Chemical
68,6810,Chemicals,Chemicals
84,8450,Children's and Infants' Apparel and Accessories,Children's
59,5925,Circuit Breakers,Circuit
36,3630,Clay and Concrete Products Industries Machinery,Clay
36,3694,Clean Work Stations,Controlled Environment
79,7930,Cleaning and Polishing Compounds and Preparations,Cleaning
84,8415,Clothing,Special Purpose
89,8955,Coffee,Tea
53,5360,Coil,Flat
59,5950,Coils and Transformers,Coils
54,5419,Collective Modular Support System,Collective
99,9915,Collectors' and/or Historical Items,Collectors'
19,1905,Combat Ships and Landing Vessels,Combat
23,2350,Combat,Assault
23,2355,Combat,Assault
66,6695,Combination and Miscellaneous Instruments,Combination
81,8120,Commercial and Industrial Gas Cylinders,Commercial
20,2060,Commercial Fishing Equipment Excludes,Commercial
69,6940,Communication Training Devices,Communication
58,5810,Communications Security Equipment and Components,Communications
89,8970,Composite Food Packages,Composite
43,4310,Compressors and Vacuum Pumps,Compressors
89,8950,Condiments and Related Products,Condiments
59,5935,Connectors,Electrical
11,1130,Conversion Kits,Nuclear Ordnance
61,6130,Converters,Electrical
61,6125,Converters,Electrical
39,3910,Conveyors,Conveyors
38,3815,Crane and Crane-Shovel Attachments,Crane
38,3810,Cranes and Crane-Shovels,Cranes
94,9410,Crude Grades of Plant Materials,Crude
36,3635,Crystal and Glass Industries Machinery,Crystal
73,7340,Cutlery and Flatware,Cutlery
34,3456,Cutting and Forming Tools for Secondary Metalworking Machinery,Cutting
34,3455,Cutting Tools for Machine Tools,Cutting
89,8910,Dairy Foods and Eggs,Dairy
37,3730,Dairy,Poultry
20,2030,Deck Machinery,Deck
42,4230,Decontaminating and Impregnating Equipment,Decontaminating
10,1075,Degaussing and Mine Sweeping Equipment,Degaussing
13,1375,Demolition Materials,Demolition
65,6520,Dental Instruments,Equipment
13,1361,Depth Charges and Components,Explosive
13,1360,Depth Charges and Components,Inert
49,4923,Depth Charges and Underwater Mines Maintenance,Repair
28,2815,Diesel Engines and Components,Diesel
76,7644,Digital Maps,Charts and Geodetic Products
53,5345,Disks and Stones,Abrasive
66,6675,Drafting,Surveying
72,7230,Draperies,Awnings
76,7650,Drawings and Specifications,Drawings
19,1955,Dredges,Dredges
44,4440,Driers,Dehydrators
51,5133,Drill Bits,Counterbores
34,3413,Drilling and Tapping Machines,Drilling
65,6505,Drugs and Biologicals,Drugs
65,6509,Drugs and Biologicals,Veterinary Use
81,8110,Drums and Cans,Drums
68,6820,Dyes,Dyes
38,3805,Earth Moving and Excavating Equipment,Earth
99,9925,Ecclesiastical Equipment,Furnishings
34,3431,Electric Arc Welding Equipment,Electric
62,6240,Electric Lamps,Electric
62,6230,Electric Portable and Hand Lighting Equipment,Electric
34,3432,Electric Resistance Welding Equipment,Electric
62,6220,Electric Vehicular Lights and Fixtures,Electric
59,5998,Electrical and Electronic assemblies,Boards
66,6625,Electrical and Electronic Properties Measuring and Testing Instruments,Electrical
34,3410,Electrical and Ultrasonic Erosion Machines,Electrical
59,5977,Electrical Contact Brushes and Electrodes,Electrical
61,6110,Electrical Control Equipment Includes,Electrical
59,5975,Electrical Hardware and Supplies,Electrical
59,5970,Electrical Insulators and Insulating Materials,Electrical
59,5960,Electron Tubes and Associated Hardware,Electron
58,5865,Electronic Countermeasures,Counter- Countermeasures and Quick Reaction Capability Equipment
59,5963,Electronic Modules,Electronic
29,2945,Engine Air and Oil Filters,Cleaners
29,2940,Engine Air and Oil Filters,Strainers
29,2930,Engine Cooling System Components,Nonaircraft
29,2925,Engine Electrical System Components,Aircraft Prime Moving
29,2920,Engine Electrical System Components,Nonaircraft
29,2915,Engine Fuel System Components,Aircraft and Missile Prime Movers
29,2910,Engine Fuel System Components,Nonaircraft
66,6620,Engine Instruments,Engine
29,2935,Engine System Cooling Components,Aircraft Prime Moving
66,6636,Environmental Chambers and Related Equipment,Environmental
11,1145,Explosive and Pyrotechnic Components,Nuclear Ordnance
41,4140,Fans,Air Circulators
53,5325,Fastening Devices,Fastening
56,5660,Fencing,Fences
87,8720,Fertilizers,Fertilizers
60,6070,Fiber Optic Accessories and Supplies,Fiber
60,6020,Fiber Optic Cable Assemblies and Harnesses,Fiber
60,6015,Fiber Optic Cables,Fiber
60,6010,Fiber Optic Conductors,Fiber
60,6030,Fiber Optic Devices,Fiber
60,6060,Fiber Optic Interconnectors,Fiber
60,6080,Fiber Optic Kits and Sets,Fiber
60,6032,Fiber Optic Light Sources and Photo Detectors,Fiber
60,6035,Fiber Optic Light Transfer and Image Transfer Devices,Fiber
60,6021,Fiber Optic Switches,Fiber
40,4020,Fiber Rope,Cordage
94,9420,Fibers,Fibers
67,6770,Film,Processed
59,5915,Filters and Networks,Filters
12,1220,Fire Control Computing Sights and Devices,Fire
12,1260,Fire Control Designating and Indicating Equipment,Fire
12,1210,Fire Control Directors,Fire
49,4931,Fire Control Maintenance and Repair Shop Specialized Equipment,Fire
12,1285,Fire Control Radar Equipment,except Airborne
12,1287,Fire Control Sonar Equipment,Fire
12,1250,Fire Control Stabilizing Mechanisms,Fire
12,1230,Fire Control Systems,Complete Notes
12,1265,Fire Control Transmitting and Receiving Equipment,except Airborne
42,4210,Fire Fighting Equipment,Fire
19,1920,Fishing Vessels,Fishing
40,4030,Fittings for Rope,Cable
83,8345,Flags and Pennants,Flags
66,6610,Flight Instruments,Flight
19,1950,Floating Drydocks,Floating
72,7220,Floor Coverings,Floor
79,7910,Floor Polishers and Vacuum Cleaning Equipment,Floor
73,7310,Food Cooking,Baking
36,3605,Food Products Machinery and Equipment,Food
89,8945,Food,Oils and Fats
84,8430,Footwear,Men's
84,8435,Footwear,Women's
87,8710,Forage and Feed,Forage
34,3446,Forging Machinery and Hammers Excludes,Forging
36,3680,Foundry Machinery,Related Equipment and Supplies
81,8150,Freight Containers,Freight
39,3960,Freight Elevators,Freight
89,8915,Fruits and Vegetables Includes,Fruits
45,4530,Fuel Burning Equipment Units,Fuel
61,6116,Fuel Cell Power Units,Components
91,9140,Fuel Oils,Fuel
91,9110,Fuels,Solid
83,8325,Fur Materials,Fur
59,5920,Fuses,Arrestors
13,1390,Fuzes and Primers,Fuzes
11,1135,Fuzing and Firing Devices,Nuclear Ordnance
78,7820,Games,Toys
37,3750,Gardening Implements and Tools,Gardening
36,3655,Gas Generating and Dispensing Systems,Fixed or Mobile
28,2840,Gas Turbines and Jet Engines,Aircraft
28,2835,Gas Turbines and Jet Engines; Non- Aircraft Prime Mover,Aircraft Non- Prime Mover
34,3433,Gas Welding,Heat Cutting
68,6830,Gases,Gases
28,2810,Gasoline Reciprocating Engines,Aircraft Prime Mover; and Components
28,2805,Gasoline Reciprocating Engines,Except Aircraft; and Components
28,2850,Gasoline Rotary Engines and Components,Gasoline
34,3414,Gear Cutting and Finishing Machines,Gear
30,3020,Gears,Pulleys
61,6115,Generators and Generator Sets,Electrical
66,6655,Geophysical Instruments,Geophysical
93,9340,Glass Fabricated Materials,Glass
15,1540,Gliders,Gliders
13,1330,Grenades,Grenades
34,3415,Grinding Machines,Grinding
23,2305,Ground Effect Vehicles,Ground
13,1337,Guided Missile and Space Vehicle Explosive Propulsion Units,Solid Fuel; and Components
13,1338,Guided Missile and Space Vehicle Inert Propulsion Units,Solid Fuel; and Components
14,1420,Guided Missile Components,Guided
14,1450,Guided Missile Handling and Servicing Equipment,Guided
49,4935,Guided Missile Maintenance,Repair
14,1430,Guided Missile Remote Control Systems,Guided
14,1427,Guided Missile Subsystems Notes,Guided
14,1425,Guided Missile Systems,Complete
13,1336,Guided Missile Warheads and Explosive Components,Guided
14,1410,Guided Missiles,Guided
10,1015,Guns,75mm through 125mm
10,1020,Guns,over 125mm through 150mm
10,1025,Guns,over 150mm through 200mm
10,1030,Guns,over 200mm through 300mm
10,1035,Guns,over 300mm
10,1010,Guns,over 30mm up to 75mm
10,1005,Guns,through 30mm
51,5110,Hand Tools,Edged
51,5120,Hand Tools,Nonedged
51,5130,Hand Tools,Power Driven
53,5340,Hardware,Commercial
53,5342,Hardware,Weapon System
37,3720,Harvesting Equipment Includes,Harvesting
66,6665,Hazard-Detecting Instruments and Apparatus,Hazard-Detecting
42,4235,Hazardous Material Spill Containment and Clean-up Equipment and Material,Hazardous
59,5965,Headsets,Handsets
44,4420,Heat Exchangers and Steam Condensers,Heat
16,1615,Helicopter Rotor Blades,Drive Mechanisms and Components
47,4720,Hose and Flexible Tubing Includes,Hose
47,4730,Hose,Pipe
84,8440,Hosiery,Handwear
84,8445,Hosiery,Handwear
65,6532,Hospital and Surgical Clothing and Related Special Purpose Items,Hospital
65,6530,Hospital Furniture,Equipment
72,7240,Household and Commercial Utility Containers,Household
72,7210,Household Furnishings,Household
71,7105,Household Furniture,Household
34,3442,Hydraulic and Pneumatic Presses,Power Driven
76,7642,Hydrographic Maps,Charts and Geodetic Products
65,6525,Imaging Equipment and Supplies,Imaging
65,6550,In Vitro Diagnostic Substances,Reagents
62,6210,Indoor and Outdoor Electric Lighting Fixtures,Indoor
36,3693,Industrial Assembly Machines,Industrial
44,4410,Industrial Boilers,Industrial
44,4430,Industrial Furnaces,Kilns
36,3611,Industrial Marking Machines,Industrial
35,3530,Industrial Sewing Machines and Mobile Textile Repair Shops,Industrial
36,3660,Industrial Size Reduction Machinery,Industrial
70,7020,Information Technology  Central Processing Unit (CPU,Computer)
70,7021,Information Technology Central Processing Unit (CPU,Computer)
70,7022,Information Technology Central Processing Unit (CPU,Computer)
70,7050,Information Technology Components,Information
70,7010,Information Technology Equipment System Configuration,Information
70,7025,Information Technology Input/Output and Storage Devices,Information
70,7030,Information Technology Software,Information
70,7045,Information Technology Supplies,Information
70,7035,Information Technology Support Equipment,Information
52,5220,Inspection Gages and Precision Layout Tools,Inspection
58,5831,Intercommunication and Public Address Systems,Airborne
58,5830,Intercommunication and Public Address Systems,Except Airborne
96,9640,Iron and Steel Primary and Semifinished Products,Iron
96,9670,Iron and Steel Scrap,Iron
89,8930,Jams,Jellies
84,8465,Jewelry,Jewelry
73,7320,Kitchen Equipment and Appliances,Kitchen
73,7330,Kitchen Hand Tools and Utensils,Kitchen
53,5355,Knobs and Pointers,Knobs
66,6640,Laboratory Equipment and Supplies,Laboratory
13,1345,Land Mines,Land
34,3416,Lathes,Lathes
14,1440,Launchers,Guided Missile
10,1055,Launchers,Rocket and Pyrotechnic
10,1045,Launchers,Torpedo and Depth Charge
35,3510,Laundry and Dry Cleaning Equipment,Laundry
83,8330,Leather,Leather
36,3645,Leather Tanning and Leather Working Industries Machinery,Leather
66,6680,Liquid and Gas Flow,Liquid Level
91,9135,Liquid Propellant Fuels and Oxidizers,Chemical Base
91,9130,Liquid Propellants and Fuels,Petroleum Base
88,8820,Live Animals,Not Raised for Food
88,8810,Live Animals,Raised for Food
22,2240,Locomotive and Rail Car Accessories and Components,Locomotive
22,2210,Locomotives,Locomotives
49,4930,Lubrication and Fuel Dispensing Equipment,Lubrication
59,5940,Lugs,Terminals
